id,label,category,year,author,desc,githubUrl,paperUrl,license,maintenance,verificationStatus,entityType,trainingScope,inferenceCost,speedTier,accuracyTier,lastReviewed,lastUpdated,supportsCharges,supportsSpins,elementsCovered,trainedDatasets
spookynet,SpookyNet,Transformer,2021,"Unke, Chmiela, Gastegger, Schütt, Sauceda, Müller","MLIP that explicitly captures electronic degrees of freedom and nonlocal effects, modelled via self-attention in a transformer architecture. Total charge and spin multiplicity are injected as global tokens that condition the local atomic embeddings — a direct conceptual ancestor of charge/spin-conditioned foundation models such as UMA and MACE-POLAR-1.",https://github.com/OUnke/SpookyNet,https://www.nature.com/articles/s41467-021-27504-0,MIT,archived,verified,architecture,unknown,,,,2026-05-05,,true,true,—,
gems,GEMS,Transformer,2024,"Unke, Stöhr, Ganscha, Unterthiner, Maennel, Kashubin, Ahlin, Gastegger, Sandonas, Berryman, Tkatchenko, Müller","SpookyNet-based biomolecular force-field framework that combines top-down (whole-protein) and bottom-up (fragment) sampling to train transferable, quantum-accurate ML potentials for proteins and condensed-phase biomolecular dynamics.",,https://www.science.org/doi/10.1126/sciadv.adn4397,proprietary,experimental,verified,trained_model,domain_specific,,,,2026-05-05,,true,true,—,
bpnn,BPNN,Descriptor,2007,Behler & Parrinello,The Behler–Parrinello high-dimensional neural network potential — the 2007 paper that introduced symmetry functions and the atomic-decomposition framework underlying essentially every modern MLIP.,https://github.com/CompPhysVienna/n2p2,https://doi.org/10.1103/PhysRevLett.98.146401,GPL-3.0-or-later,maintained,verified,architecture,unknown,,,,2026-05-05,2024-11-22,false,false,—,
ace,ACE,Descriptor,2019,Drautz (ICAMS),"Atomic Cluster Expansion: a complete, systematically improvable many-body basis for the local atomic environment; the mathematical backbone of PACE/GRACE and a strong influence on MACE.",https://github.com/ICAMS/lammps-user-pace,https://arxiv.org/abs/1902.10301,Apache-2.0,maintained,verified,architecture,unknown,,,,2026-05-05,2026-02-09,false,false,—,
gap,GAP,Descriptor,2010,"Bartók, Payne, Kondor, Csányi (Cambridge)",Gaussian Approximation Potentials: a kernel-based MLIP fit to ab-initio energies and forces using SOAP-like many-body descriptors; the canonical kernel reference for descriptor-based potentials.,https://github.com/libAtoms/QUIP,https://doi.org/10.1103/PhysRevLett.104.136403,GPL-3.0-or-later,maintained,verified,architecture,unknown,,,,2026-05-05,2026-04-01,false,false,—,
deepmd,DeepMD,Descriptor,2018,DeepModeling,"Deep Potential Molecular Dynamics: local frame descriptors + deep networks giving ab-initio-level accuracy with linear scaling, widely used for large MD.",https://github.com/deepmodeling/deepmd-kit,https://doi.org/10.1016/j.cpc.2018.03.016,LGPL-3.0,active,verified,architecture,unknown,,,,2026-05-05,2026-03-19,false,false,—,
dpa2,DPA-2,Descriptor,2024,DeepModeling,"Second-generation Deep Potential architecture with attention and multi-task heads, targeting a universal deep potential for diverse chemistries.",https://github.com/deepmodeling/deepmd-kit,https://arxiv.org/abs/2312.15492,LGPL-3.0,active,verified,architecture,universal_foundation,,,,2026-05-05,2026-03-19,false,false,—,
dpa3,DPA-3,Descriptor,2025,DeepModeling,"Message-passing graph neural network built on a Line Graph Series (LiGS) that updates bond, angle, and dihedral representations while preserving energy conservation and physical symmetries; designed for Large Atomistic Models with clean scaling in model size, data, and compute. The DPA-3.1-3M variant trained on OpenLAM-v1 tops zero-shot generalization across 12 downstream tasks.",https://github.com/deepmodeling/deepmd-kit,https://arxiv.org/abs/2506.01686,LGPL-3.0,active,verified,architecture,universal_foundation,,,,2026-05-05,2026-03-19,false,false,—,
mattersim,MatterSim,Equivariant,2024,Microsoft,"MatterSim is Microsoft's foundation MLIP covering 89 elements, trained on large-scale first-principles data spanning 0-5000 K and pressures up to 1000 GPa for materials discovery and high-throughput computation. It uses two backbones: the M3GNet graph neural network (used for the open-source v1 checkpoints) and a Graphormer transformer; both are invariant architectures.",https://github.com/microsoft/mattersim,https://arxiv.org/abs/2405.04967,MIT,active,verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,all elements up to Z=89,
nep89,NEP89,Descriptor,2025,Chalmers (Fan group) / Liang et al.,"Universal neuroevolution-potential foundation model spanning 89 elements across inorganic and organic materials, trained via separable natural evolution strategies and distributed in GPUMD for empirical-potential-like speed.",https://github.com/brucefan1983/GPUMD,https://arxiv.org/abs/2504.21286,GPL-3.0,active,verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,89 elements,
liten,LiTEN-FF,Equivariant,2026,Zhejiang Univ. (Hou lab) / Su et al.,Equivariant network with Tensorized Quadrangle Attention (TQA) that captures three- and four-body interactions in linear time; pre-trained on nablaDFT and fine-tuned on SPICE as a quantum-accurate biomolecular force-field foundation model with ~10x faster inference than MACE-OFF.,https://github.com/lingcon01/LiTEN,https://arxiv.org/abs/2507.00884,MIT,active,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,SPICE / nablaDFT organic and biomolecular chemistry,
matris,MatRIS,Invariant,2026,Zhou et al. (CAS / UCAS),Invariant foundation MLIP using a separable O(N) attention mechanism for three-body interactions; 10M-parameter models trained on OMat24 / MPTrj / sAlex match equivariant SOTA on Matbench-Discovery (F1 0.847) at >13x lower training cost than eSEN-30M-MP.,https://github.com/HPC-AI-Team/MatRIS,https://arxiv.org/abs/2603.02002,BSD-3-Clause,active,verified,model_family,universal_foundation,,,,2026-05-05,,false,true,all elements covered by OMat24 / MPTrj (~89 elements),
matris_moe,MatRIS-MoE,Invariant,2026,"Zhou et al. (CAS / ICT, HPC-AI-Team)","Billion-parameter Mixture-of-Experts extension of MatRIS that inserts sparse expert modules around the self-attention layer — a message-update MoE for message construction and a feature-update MoE for post-attention refinement — with element-type routing that keeps the activated expert set time-independent and the potential energy surface continuous. Released in M (2.47B) and L (11.50B) variants and trained on heterogeneous domains (molecules, materials, catalysis, MOFs, and direct air capture) via the new Janus hybrid-parallel framework, attaining 1.0–1.2 EFLOPS at >90% parallel efficiency and compressing billion-parameter uMLIP training from weeks to hours on Exascale supercomputers.",https://github.com/HPC-AI-Team/MatRIS,https://arxiv.org/abs/2604.15821,BSD-3-Clause,active,verified,trained_model,multi_domain,,,,2026-05-05,,false,false,all elements covered by OMat24 / MPTrj / OMol25 (~89 elements),omat24; mptrj; salex; omol25; oc20; odac23
snap,SNAP,Descriptor,2015,"Thompson, Swiler, Trott, Foiles, Tucker (Sandia)","Spectral Neighbor Analysis Potential: a linear descriptor MLIP fit to bispectrum components of the local atomic environment, designed for high-throughput LAMMPS simulations. The canonical industrial-scale linear descriptor potential alongside GAP and MTP.",,https://doi.org/10.1016/j.jcp.2014.12.018,GPL-2.0,maintained,verified,architecture,unknown,,,,2026-05-05,,false,false,—,
mtp,MTP,Descriptor,2016,Shapeev (Skoltech),"Moment Tensor Potentials: a systematically improvable linear MLIP based on contractions of moment tensors of the local environment. Pairs naturally with D-optimality / MaxVol active learning (Podryabinkin & Shapeev 2017), making the MTP family the canonical reference for AL-native potential fitting.",https://gitlab.com/ashapeev/mlip-2,https://arxiv.org/abs/1512.06054,BSD-2-Clause,maintained,verified,architecture,unknown,,,,2026-05-05,,false,false,—,
sgdml,sGDML,Descriptor,2017,"Chmiela, Sauceda, Poltavsky, Müller, Tkatchenko","Symmetric Gradient-Domain Machine Learning: a kernel ridge regression force field fit directly in the gradient domain, with energy obtained by closed-form integration. Strong on small molecules where rigorous symmetry handling is critical.",https://github.com/stefanch/sGDML,https://www.science.org/doi/10.1126/sciadv.1603015,MIT,maintained,verified,architecture,single_system,,,,2026-05-05,,false,false,—,
flare,FLARE,Descriptor,2020,"Vandermause, Torrisi, Batzner, Sun, Kolpak, Kozinsky (Harvard)","Fast Learning of Atomistic Rare Events: a Gaussian-process-regression Bayesian potential trained on-the-fly during MD, with GP-uncertainty driving when to call DFT vs. trust the surrogate. Includes tabulated/mapped force-field export for production-speed MD; principal kernel-based AL framework and immediate predecessor of the Kozinsky group's NequIP/Allegro line.",https://github.com/mir-group/flare,https://www.nature.com/articles/s41524-020-0283-z,MIT,active,verified,architecture,single_system,,,,2026-05-05,,false,false,—,
aimnet,AIMNet,Descriptor,2019,"Zubatyuk, Smith, Leszczynski, Isayev","Original Atoms-in-Molecules Network: a self-consistent message-passing potential that propagates atomic environment vectors through repeated neighbour updates, learning charge-aware atomic representations for organic chemistry. The conceptual precursor to AIMNet-NSE and AIMNet2.",https://github.com/aiqm/aimnet,https://www.science.org/doi/10.1126/sciadv.aav6490,MIT,archived,verified,architecture,domain_specific,,,,2026-05-05,,true,false,—,
aimnet_nse,AIMNet-NSE,Descriptor,2021,"Zubatyuk, Smith, Nebgen, Tretiak, Isayev","Neural Spin Equilibration variant of AIMNet that handles arbitrary total charge and spin multiplicity through an SCF-like message-passing loop, predicting transferable atomic charges and spins. The conceptual ancestor of charge/spin-conditioned models like AIMNet2 and SpookyNet.",https://github.com/isayevlab/aimnetnse,https://www.nature.com/articles/s41467-021-24904-0,MIT,archived,verified,architecture,domain_specific,,,,2026-05-05,,true,true,—,
hip_nn,HIP-NN,Invariant,2018,"Lubbers, Smith, Barros (LANL)","Hierarchically Interacting Particle Neural Network: a message-passing potential that decomposes atomic energies into a hierarchy of n-body terms with explicit residual structure, providing both interpretable hierarchical decomposition and natural uncertainty estimates from the residual stack.",https://github.com/lanl/hippynn,https://pubs.aip.org/aip/jcp/article/148/24/241715/962591,BSD-3-Clause,active,verified,architecture,domain_specific,,,,2026-05-05,,false,false,—,
ani,ANI-2x,Descriptor,2020,"Devereux, Smith, Huddleston, Barros, Zubatyuk, Isayev, Roitberg","ANI variant extending coverage to seven elements (H, C, N, O, S, F, Cl); widely used in drug discovery for fast geometry and energy scans on organic chemistry.",https://github.com/aiqm/torchani,https://pubs.acs.org/doi/10.1021/acs.jctc.0c00121,MIT,maintained,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,"H, C, N, O, S, F, Cl",
ani_1,ANI-1,Descriptor,2017,"Smith, Isayev, Roitberg","Original ANI: an atomistic neural network potential built on Behler-style symmetry function descriptors and per-element atomic networks, trained on ~22M DFT structures of organic molecules covering H, C, N, O.",https://github.com/aiqm/torchani,https://pubs.rsc.org/en/content/articlehtml/2017/sc/c6sc05720a,MIT,maintained,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,"H, C, N, O",
ani_1x,ANI-1x,Descriptor,2018,"Smith, Nebgen, Lubbers, Isayev, Roitberg","Active-learned extension of ANI-1: applies query-by-committee active learning to grow the training set towards a chemically diverse organic-molecule sampling, dramatically improving generalisation while maintaining ANI-style efficiency.",https://github.com/aiqm/torchani,https://pubs.aip.org/aip/jcp/article/148/24/241733/962534,MIT,maintained,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,"H, C, N, O",
ani_1ccx,ANI-1ccx,Descriptor,2020,"Smith, Nebgen, Zubatyuk, Lubbers, Devereux, Barros, Tretiak, Isayev, Roitberg","ANI-1x transfer-learned to a CCSD(T)/CBS-quality reference, yielding a near-coupled-cluster-accuracy organic-chemistry potential at deep-network speed. The first widely deployed example of using transfer learning to push beyond DFT.",https://github.com/aiqm/torchani,https://www.nature.com/articles/s41467-019-10827-4,MIT,maintained,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,"H, C, N, O",
aimnet2,AIMNet2,Descriptor,2025,"Anstine, Zubatyuk & Isayev (CMU)","Second-generation Atoms-in-Molecules Network potential covering 14 elements (H, B, C, N, O, F, Si, P, S, Cl, As, Se, Br, I) in neutral and charged states; combines ML-parameterised short-range terms with physics-based long-range electrostatics, trained on ~20M hybrid-DFT (wB97M-D3) calculations for routine use as a DFT replacement in organic and elemental-organic chemistry.",https://github.com/isayevlab/aimnetcentral,https://doi.org/10.1039/D4SC08572H,MIT,active,verified,trained_model,domain_specific,,,,2026-05-05,,true,false,"H, B, C, N, O, F, Si, P, S, Cl, As, Se, Br, I",
aceff,AceFF,Equivariant,2026,"Farr, Doerr, Mirarchi, Sabanés Zariquiey & De Fabritiis (Acellera Labs / UPF Barcelona)","Drug-discovery-oriented MLIP built on the TensorNet2 architecture — a refined vector–scalar equivariant TensorNet that adds scalar partial-charge features, performs neutral charge equilibration, and includes a long-range Coulomb energy term. Pretrained on a large dataset of drug-like compounds covering H, B, C, N, O, F, Si, P, S, Cl, Br, I in neutral and charged states; balances DFT-level accuracy on torsion scans, MD trajectories, and batched minimisations with high-throughput inference suitable for FEP and lead-optimisation workflows.",https://huggingface.co/Acellera/AceFF-2.0,https://arxiv.org/abs/2601.00581,Apache-2.0,active,verified,trained_model,domain_specific,,,,2026-05-05,,true,false,"H, B, C, N, O, F, Si, P, S, Cl, Br, I",
schnet,SchNet,Invariant,2017,Schütt et al.,"Continuous-filter convolutional network that introduced smooth, translation-invariant filters for molecules; the baseline for many later invariant message-passing potentials. Predicts energies and forces with all-atom symmetry preserved.",https://github.com/atomistic-machine-learning/schnetpack,https://arxiv.org/abs/1706.08566,MIT,active,verified,architecture,unknown,,,,2026-05-05,2025-12-19,false,false,dataset-dependent,
dimenet,DimeNet++,Invariant,2020,Gasteiger et al.,"Directional message passing network with spherical basis functions that explicitly encode bond angles, improving data efficiency over SchNet-style models. The original paper (arXiv:2003.03123) introduced the directional MP framework; the follow-up DimeNet++ (arXiv:2011.14115) refined it with faster, uncertainty-aware variants.",https://github.com/gasteigerjo/dimenet,https://arxiv.org/abs/2003.03123,Hippocratic-2.1,archived,verified,architecture,unknown,,,,2026-05-05,,false,false,dataset-dependent,
gemnet,GemNet-OC,Equivariant,2021,TUM / OC20,High-capacity spherical message-passing architecture used in the OC20/OC22 benchmarks; very strong for catalyst adsorption and surface chemistry.,https://github.com/facebookresearch/fairchem,https://arxiv.org/abs/2204.02782,MIT,maintained,verified,architecture,domain_specific,,,,2026-05-05,,false,false,all elements covered by OC20 / OC22 (~56 elements),
painn,PaiNN,Equivariant,2021,Schütt et al.,Polarizable Atom Interaction Neural Network: uses coupled scalar/vector features to capture forces and dipoles with E(3) equivariance at lower cost than full tensors.,https://github.com/atomistic-machine-learning/schnetpack,https://arxiv.org/abs/2102.03150,MIT,active,verified,architecture,unknown,,,,2026-05-05,2025-12-19,false,false,dataset-dependent,
sevennet,SevenNet,Equivariant,2024,Seoul Nat. Univ.,"NequIP-based scalable equivariant graph neural network potential with parallel-MD optimisations (LAMMPS GPU support), enabling very large equivariant simulations while retaining E(3)-equivariance.",https://github.com/MDIL-SNU/SevenNet,https://arxiv.org/abs/2402.03789,MIT,active,verified,architecture,universal_foundation,,,,2026-05-05,,false,false,all elements covered by MPTrj (~89 elements),
